Nom.officiel.du.satellite;Organisation.de.pays.du.registre.de.l'ONU;Opérateur.propriétaire;Pays.de.l'opérateur.propriétaire;Utilisateurs;Objectif;Date.de.lancement;fournisseur;Pays.du.fournisseur;Site.de.lancement;Véhicule.de.lancement
GCOM-1;Japan;Japan Aerospace Exploration Agency (JAXA);USA/Japan;Government;Earth Observation;5/17/2012;Japan Aerospace Exploration Agency (JAXA);Japan;Tanegashima Space Center;H-II2
Globalstar FM4;USA;Globalstar ;USA;Commercial;Communications;2/14/1998;Space Systems/Loral;USA;Cape Canaveral;Delta 7420
Globalstar FM8;USA;Globalstar ;USA;Commercial;Communications;4/24/1998;Space Systems/Loral;USA;Cape Canaveral;Delta 7420
Globalstar M023;USA;Globalstar ;USA;Commercial;Communications;2/9/1999;Space Systems/Loral;USA;Baikonur Cosmodrome;Soyuz U
Globalstar M026;USA;Globalstar ;USA;Commercial;Communications;7/25/1999;Space Systems/Loral;USA;Cape Canaveral;Delta 7420
Globalstar M027;USA;Globalstar ;USA;Commercial;Communications;8/17/1999;Space Systems/Loral;USA;Cape Canaveral;Delta 7420
Globalstar M028;USA;Globalstar;USA;Commercial;Communications;7/25/1999;Space Systems/Loral;USA;Cape Canaveral;Delta 7420
Globalstar M029;USA;Globalstar ;USA;Commercial;Communications;11/22/1999;Space Systems/Loral;USA;Baikonur Cosmodrome;Soyuz U
Globalstar M031;USA;Globalstar ;USA;Commercial;Communications;10/18/1999;Space Systems/Loral;USA;Baikonur Cosmodrome;Soyuz U
Globalstar FM37;USA;Globalstar ;USA;Commercial;Communications;3/15/1999;Space Systems/Loral;USA;Baikonur Cosmodrome;Soyuz U
Globalstar M039;USA;Globalstar ;USA;Commercial;Communications;11/22/1999;Space Systems/Loral;USA;Baikonur Cosmodrome;Soyuz U
Globalstar M040;USA;Globalstar ;USA;Commercial;Communications;2/9/1999;Space Systems/Loral;USA;Baikonur Cosmodrome;Soyuz U
Globalstar M056;USA;Globalstar ;USA;Commercial;Communications;10/18/1999;Space Systems/Loral;USA;Baikonur Cosmodrome;Soyuz U
Globalstar M059;USA;Globalstar ;USA;Commercial;Communications;10/18/1999;Space Systems/Loral;USA;Baikonur Cosmodrome;Soyuz U
