Nom.officiel.du.satellite;Organisation.de.pays.du.registre.de.l'ONU;Opérateur.propriétaire;Pays.de.l'opérateur.propriétaire;Utilisateurs;Objectif;Date.de.lancement;fournisseur;Pays.du.fournisseur;Site.de.lancement;Véhicule.de.lancement
Iridium 47;USA;Iridium Satellite LLC;USA;Government/Commercial;Communications;12/20/1997;Motorola Satellite Communications Group;USA;Vandenberg AFB;Delta 2 7920
Iridium 49;USA;Iridium Satellite LLC;USA;Government/Commercial;Communications;12/20/1997;Motorola Satellite Communications Group;USA;Vandenberg AFB;Delta 2 7920
Iridium 5;USA;Iridium Satellite LLC;USA;Government/Commercial;Communications;5/5/1997;Motorola Satellite Communications Group;USA;Vandenberg AFB;Delta 2 7920
Iridium 50;USA;Iridium Satellite LLC;USA;Government/Commercial;Communications;2/18/1998;Motorola Satellite Communications Group;USA;Vandenberg AFB;Delta 2 7920
Iridium 51;China;Iridium Satellite LLC;USA;Government/Commercial;Communications;3/25/1998;Motorola Satellite Communications Group;USA;Taiyuan Launch Center;Long March 2C
Iridium 52;USA;Iridium Satellite LLC;USA;Government/Commercial;Communications;2/18/1998;Motorola Satellite Communications Group;USA;Vandenberg AFB;Delta 2 7920
Iridium 53;USA;Iridium Satellite LLC;USA;Government/Commercial;Communications;2/18/1998;Motorola Satellite Communications Group;USA;Vandenberg AFB;Delta 2 7920
Iridium 54;USA;Iridium Satellite LLC;USA;Government/Commercial;Communications;2/18/1998;Motorola Satellite Communications Group;USA;Vandenberg AFB;Delta 2 7920
Iridium 55;USA;Iridium Satellite LLC;USA;Government/Commercial;Communications;3/30/1998;Motorola Satellite Communications Group;USA;Vandenberg AFB;Delta 2 7920
Iridium 56;USA;Iridium Satellite LLC;USA;Government/Commercial;Communications;2/18/1998;Motorola Satellite Communications Group;USA;Vandenberg AFB;Delta 2 7920
Iridium 57;USA;Iridium Satellite LLC;USA;Government/Commercial;Communications;3/30/1998;Motorola Satellite Communications Group;USA;Vandenberg AFB;Delta 2 7920
Iridium 58;USA;Iridium Satellite LLC;USA;Government/Commercial;Communications;3/30/1998;Motorola Satellite Communications Group;USA;Vandenberg AFB;Delta 2 7920
Iridium 59;USA;Iridium Satellite LLC;USA;Government/Commercial;Communications;3/30/1998;Motorola Satellite Communications Group;USA;Vandenberg AFB;Delta 2 7920
Iridium 6;USA;Iridium Satellite LLC;USA;Government/Commercial;Communications;5/6/1997;Motorola Satellite Communications Group;USA;Vandenberg AFB;Delta 2 7920
Iridium 60;USA;Iridium Satellite LLC;USA;Government/Commercial;Communications;3/30/1998;Motorola Satellite Communications Group;USA;Vandenberg AFB;Delta 2 7920
Iridium 61;China;Iridium Satellite LLC;USA;Government/Commercial;Communications;3/25/1998;Motorola Satellite Communications Group;USA;Taiyuan Launch Center;Long March 2C
Iridium 62;USA;Iridium Satellite LLC;USA;Government/Commercial;Communications;4/7/1998;Motorola Satellite Communications Group;USA;Baikonur Cosmodrome;Proton K
Iridium 64;USA;Iridium Satellite LLC;USA;Government/Commercial;Communications;4/7/1998;Motorola Satellite Communications Group;USA;Baikonur Cosmodrome;Proton K
Iridium 65;USA;Iridium Satellite LLC;USA;Government/Commercial;Communications;4/7/1998;Motorola Satellite Communications Group;USA;Baikonur Cosmodrome;Proton K
Iridium 66;USA;Iridium Satellite LLC;USA;Government/Commercial;Communications;4/7/1998;Motorola Satellite Communications Group;USA;Baikonur Cosmodrome;Proton K
Iridium 67;USA;Iridium Satellite LLC;USA;Government/Commercial;Communications;4/7/1998;Motorola Satellite Communications Group;USA;Baikonur Cosmodrome;Proton K
Iridium 68;USA;Iridium Satellite LLC;USA;Government/Commercial;Communications;4/7/1998;Motorola Satellite Communications Group;USA;Baikonur Cosmodrome;Proton K
Iridium 7;USA;Iridium Satellite LLC;USA;Government/Commercial;Communications;5/5/1997;Motorola Satellite Communications Group;USA;Vandenberg AFB;Delta 2 7920
Iridium 70;USA;Iridium Satellite LLC;USA;Government/Commercial;Communications;5/17/1998;Motorola Satellite Communications Group;USA;Vandenberg AFB;Delta 2 7920
Iridium 72;USA;Iridium Satellite LLC;USA;Government/Commercial;Communications;5/17/1998;Motorola Satellite Communications Group;USA;Vandenberg AFB;Delta 2 7920
Iridium 74;USA;Iridium Satellite LLC;USA;Government/Commercial;Communications;5/17/1998;Motorola Satellite Communications Group;USA;Vandenberg AFB;Delta 2 7920
Iridium 75;USA;Iridium Satellite LLC;USA;Government/Commercial;Communications;5/17/1998;Motorola Satellite Communications Group;USA;Vandenberg AFB;Delta 2 7920
Iridium 76;China;Iridium Satellite LLC;USA;Government/Commercial;Communications;8/19/1998;Motorola Satellite Communications Group;USA;Taiyuan Launch Center;Long March 2C
Iridium 77;USA;Iridium Satellite LLC;USA;Government/Commercial;Communications;9/8/1998;Motorola Satellite Communications Group;USA;Vandenberg AFB;Delta 2 7920
Iridium 8;USA;Iridium Satellite LLC;USA;Government/Commercial;Communications;5/5/1997;Motorola Satellite Communications Group;USA;Vandenberg AFB;Delta 2 7920
Iridium 80;USA;Iridium Satellite LLC;USA;Government/Commercial;Communications;9/8/1998;Motorola Satellite Communications Group;USA;Vandenberg AFB;Delta 2 7920
Iridium 81;USA;Iridium Satellite LLC;USA;Government/Commercial;Communications;9/8/1998;Motorola Satellite Communications Group;USA;Vandenberg AFB;Delta 2 7920
Iridium 82;USA;Iridium Satellite LLC;USA;Government/Commercial;Communications;9/8/1998;Motorola Satellite Communications Group;USA;Vandenberg AFB;Delta 2 7920
Iridium 83;USA;Iridium Satellite LLC;USA;Government/Commercial;Communications;11/6/1998;Motorola Satellite Communications Group;USA;Vandenberg AFB;Delta 2 7920
Iridium 84;USA;Iridium Satellite LLC;USA;Government/Commercial;Communications;11/6/1998;Motorola Satellite Communications Group;USA;Vandenberg AFB;Delta 2 7920
Iridium 86;USA;Iridium Satellite LLC;USA;Government/Commercial;Communications;11/6/1998;Motorola Satellite Communications Group;USA;Vandenberg AFB;Delta 2 7920
Iridium 90;USA;Iridium Satellite LLC;USA;Government/Commercial;Communications;2/11/2002;Motorola Satellite Communications Group;USA;Vandenberg AFB;Delta 2
Iridium 91;USA;Iridium Satellite LLC;USA;Government/Commercial;Communications;2/11/2002;Motorola Satellite Communications Group;USA;Vandenberg AFB;Delta 2
Iridium 94;USA;Iridium Satellite LLC;USA;Government/Commercial;Communications;2/11/2002;Motorola Satellite Communications Group;USA;Vandenberg AFB;Delta 2
Iridium 95;USA;Iridium Satellite LLC;USA;Government/Commercial;Communications;2/11/2002;Motorola Satellite Communications Group;USA;Vandenberg AFB;Delta 2
Iridium 96;USA;Iridium Satellite LLC;USA;Government/Commercial;Communications;2/11/2002;Motorola Satellite Communications Group;USA;Vandenberg AFB;Delta 2
Iridium 97;USA;Iridium Satellite LLC;USA;Government/Commercial;Communications;6/20/2002;Motorola Satellite Communications Group;USA;Plesetsk Cosmodrome;Rokot/BrizKM
Iridium 98;USA;Iridium Satellite LLC;USA;Government/Commercial;Communications;6/20/2002;Motorola Satellite Communications Group;USA;Plesetsk Cosmodrome;Rokot/BrizKM
IRIS;USA;National Aeronautics and Space Administration (NASA);USA;Government;Space Science;6/28/2013;Lockheed Martin Space Systems Advanced Technology Center (ATC);USA;Vandenberg AFB;L1011
IRNSS-1A;India;Indian Space Research Organization (ISRO);India;Government;Navigation/Regional Positioning;7/1/2013;ISRO Satellite Center;India;Satish Dhawan Space Center;PSLV
IRNSS-1B;India;Indian Space Research Organization (ISRO);India;Government;Navigation/Regional Positioning;4/4/2014;ISRO Satellite Center;India;Satish Dhawan Space Center;PSLV
IRNSS-1C;NR;Indian Space Research Organization (ISRO);India;Government;Navigation/Regional Positioning;10/15/2014;ISRO Satellite Center;India;Satish Dhawan Space Center;PSLV-XL
IRNSS-1D;NR;Indian Space Research Organization (ISRO);India;Government;Navigation/Regional Positioning;3/30/2015;ISRO Satellite Center;India;Satish Dhawan Space Center;PSLV-C27
IRNSS-1E;NR;Indian Space Research Organization (ISRO);India;Government;Navigation/Regional Positioning;1/20/2016;ISRO Satellite Center;India;Satish Dhawan Space Center;PSLV-XL
IRNSS-1F;NR;Indian Space Research Organization (IRSO);India;Government;Navigation/Regional Positioning;3/10/2016;IRSO Satellite Center;India;Satish Dhawan Space Center;PSLV-XL
IRNSS-1G;NR;Indian Space Research Organization (IRSO);India;Government;Navigation/Regional Positioning;4/28/2016;IRSO Satellite Center;India;Satish Dhawan Space Center;PSLV
IRS-P6;India;Indian Space Research Organization (ISRO);India;Government;Earth Observation;10/17/2003;ISRO Satellite Center;India;Satish Dhawan Space Center;PSLV C5
ITU-pSAT1;NR;ITU Space Systems Design & Test Laboratory;Turkey;Civil;Technology Development;9/23/2009;ITU Space Systems Design & Test Laboratory;Turkey;Satish Dhawan Space Center;PSLV
Jason 2;France;NASA/Centre National d'Etudes Spatiales (CNES)/NOAA/EUMETSAT;USA/France;Government;Earth Observation;6/20/2008;Thales Alenia Space;France;Vandenberg AFB;Delta 2
Jason 3;NR;NASA/Centre National d'Etudes Spatiales (CNES)/NOAA/EUMETSAT;USA/France;Government;Earth Observation;1/17/2016;Thales Alenia Space;France;Vandenberg AFB;Falcon 9
JCSat 10;Japan;Sky Perfect JSAT Corporation;Japan;Commercial;Communications;8/11/2006;Lockheed Martin Commercial Space Systems;USA;Guiana Space Center;Ariane 5
JCSat 110;Japan;Sky Perfect JSAT Corporation;Japan;Commercial;Communications;10/7/2000;Lockheed Martin Commercial Space Systems;USA;Guiana Space Center;Ariane 44L
JCSat 13;Japan;Sky Perfect JSAT Corporation;Japan;Commercial;Communications;5/15/2012;Lockheed Martin Commercial Space Systems;USA;Guiana Space Center;Ariane 5 ECA
JCSat 14;NR;Sky Perfect JSAT Corporation;Japan;Commercial;Communications;5/6/2016;Space Systems/Loral;USA;Cape Canaveral;Falcon 9
JCSat 1B;Japan;Sky Perfect JSAT Corporation;Japan;Commercial;Communications;12/2/1997;Boeing Satellite Systems;USA;Guiana Space Center;Ariane 4
JCSat 2A;Japan;Sky Perfect JSAT Corporation;Japan;Commercial;Communications;3/29/2002;Boeing Satellite Systems;USA;Guiana Space Center;Ariane 44L
JCSat 4A;Japan;Sky Perfect JSAT Corporation;Japan;Commercial;Communications;2/15/1999;Boeing Satellite Systems;USA;Cape Canaveral;Atlas 2AS
JCSat 9;Japan;Sky Perfect JSAT Corporation;Japan;Commercial;Communications;4/12/2006;Lockheed Martin Commercial Space Systems;USA;Sea Launch (Odyssey);Zenit 3SL
JCSat RA;Japan;Sky Perfect JSAT Corporation;Japan;Commercial;Communications;8/21/2009;Lockheed Martin Commercial Space Systems;USA;Guiana Space Center;Ariane 5
Jilin-1;NR;Changchun Institute of Optics;China;Commercial;Earth Observation;10/7/2015;Chang Guang Satellite Technology Co. Ltd.;China;Jiuquan Satellite Launch Center;Long March 2D
Jugnu;India;Indian Institute of Technology Kanpur;India;Civil;Earth Observation;10/12/2011;Indian Institute of Technology Kanpur;India;Satish Dhawan Space Center;PSLV
Kaituo-1A;NR;China Aerospace Science and Technology Corporation;China;Government;Technology Development;9/19/2015;China Aerospace Science and Technology Corporation;China;Taiyuan Launch Center;Long March 6
Kalpana-1;India;Indian Space Research Organization (ISRO);India;Government;Earth Observation;9/12/2002;ISRO Satellite Center;India;Satish Dhawan Space Center;Polar Satellite Launch Vehicle (PSLV)
KazEOSat-1;NR;Kazcosmos;Kazakhstan;Government;Earth Observation;4/30/2014;Airbus Defence and Space;France;Guiana Space Center;Vega
KazEOSat-2;NR;Kazcosmos;Kazakhstan;Government;Earth Observation;6/19/2014;Surrey Satellite Technology Ltd. (SSTL);UK;Dombarovsky Air Base;Dnepr
KazSat-2;Kazakhstan;JSC KazSat;Kazakhstan;Commercial;Communications;7/15/2011;Khrunichev;Russia;Baikonur Cosmodrome;Proton-M
KazSat-3;NR;JSC KazSat;Kazakhstan;Commercial;Communications;4/28/2014;Thales Alenia Space;Italy;Baikonur Cosmodrome;Proton-M
Kent Ridge 1;NR;National University of Singapore;Singapore;Civil;Earth Observation;12/16/2015;National University of Singapore;Singapore;Satish Dhawan Space Center;PSLV-C29
USA 186;USA;National Reconnaissance Office (NRO);USA;Military;Earth Observation;10/19/2005;Lockheed Martin;USA;Vandenberg AFB;Titan IV
USA 224;USA;National Reconnaissance Office (NRO);USA;Military;Earth Observation;1/20/2011;Lockheed Martin;USA;Vandenberg AFB;Delta 4 Heavy
USA 245;USA;National Reconnaissance Office (NRO);USA;Military;Earth Observation;8/28/2013;Lockheed Martin;USA;Vandenberg AFB;Delta 4 Heavy
ETS-8;Japan;National Institute of Information and Communications Technology (NICT);Japan;Government;Technology Development;12/18/2006;Mitsubishi Electric;Japan;Tanegashima Space Center;H2A
Kizuna;Japan;Japan Aerospace Exploration Agency (JAXA);Japan;Government;Technology Development;2/23/2008;JAXA/National Institute of Information and Communications Technology (NICT);Japan;Tanegashima Space Center;H2A
KJSY-1;NR;Tsinghua University;China;Civil;Technology Development;9/19/2015;Tsinghua University;China;Taiyuan Launch Center;Long March 6
KKS-1;Japan;Tokyo Metropolitan College of Industrial Technology;Japan;Civil;Technology Development;1/23/2009;Tokyo Metropolitan College of Industrial Technology;Japan;Tanegashima Space Center;H-2A
Kompsat-2;South Korea;Korea Aerospace Research Institute (KARI);South Korea;Government/Commercial;Earth Observation/Technology Development;7/28/2006;Korea Aerospace Research Institute (KARI)/ EADS Astrium;South Korea/France/UK/Germany;Plesetsk Cosmodrome;Rokot
Kompsat-3;South Korea;Korea Aerospace Research Institute (KARI);South Korea;Government/Commercial;Earth Observation;5/17/2012;Korea Aerospace Research Institute (KARI)/ EADS Astrium;South Korea/France/UK/Germany;Tanegashima Space Center;H2A
Kompsat-3A;South Korea;Korea Aerospace Research Institute (KARI);South Korea;Government/Commercial;Earth Observation;3/25/2015;Korea Aerospace Research Institute (KARI);South Korea;Dombarovsky Air Base;Dnepr
Kompsat-5;South Korea;Korea Aerospace Research Institute (KARI);South Korea;Government/Commercial;Earth Observation;8/22/2013;Korea Aerospace Research Institute (KARI);South Korea;Dombarovsky Air Base;Dnepr
Cosmos 2487;Russia;Ministry of Defense;Russia;Military;Earth Observation;6/27/2013;NPO Mashinostroyeniya;Russia;Baikonur Cosmodrome;Strela
Koreasat 5;South Korea;KT Corporation/Korean Agency for Defense Development (ADD);South Korea;Military/Commercial;Communications;8/22/2006;Alcatel Alenia Space;France;Sea Launch (Odyssey);Zenit 3SL
Koreasat 6;South Korea;KT Corporation;South Korea;Commercial;Communications;12/29/2010;Orbital Sciences Corp.;USA;Guiana Space Center;Ariane 5
Kuaizhou-2;NR;National Academy of Sciences;China;Government;Earth Observation;11/21/2014;Harbin Institute of Technology;China;Jiuquan Satellite Launch Center;Kuaizhou
Kukai;NR;Kanagawa University;Japan;Civil;Technology Development;1/23/2009;Kanagawa University;Japan;Tanegashima Space Center;H-2A
USA 133;USA;National Reconnaissance Office (NRO);USA;Military;Earth Observation;10/24/1997;Lockheed Martin Astronautics;USA;Vandenberg AFB;Titan IV
USA 152;USA;National Reconnaissance Office (NRO);USA;Military;Earth Observation;8/17/2000;Lockheed Martin Astronautics;USA;Vandenberg AFB;Titan IV
USA 182;USA;National Reconnaissance Office (NRO);USA;Military;Earth Observation;4/30/2005;Lockheed Martin Astronautics;USA;Cape Canaveral;Titan 4B
Landsat 7;USA;NASA/US Geological Survey;USA;Government;Earth Observation;4/15/1999;Lockheed Martin Missiles and Space;USA;Vandenberg AFB;Delta 2
Landsat 8;USA;NASA/US Geological Survey;USA;Government;Earth Observation;2/11/2013;Orbital Sciences Corp.;USA;Vandenberg AFB;Atlas 5
LaoSat-1;NR;Laos National Authority for Science and Technology;Laos;Government;Communications;11/20/2015;China Academy of Space Technology (CAST);China;Xichang Satellite Launch Center;Long March 3B
LAPAN A2;NR;Indonesian National Aeronautics and  Space Agency (Lembaga Penerbangan dan Antariksa Nasional - LAPAN);Indonesia;Government;Earth Observation;9/24/2015;Indonesian National Institute of Aeronautics and Space;Indonesia;Satish Dhawan Space Center;PSLV C-30
LAPAN A3;NR;Indonesian National Aeronautics and  Space Agency (Lembaga Penerbangan dan Antariksa Nasional - LAPAN);Indonesia;Government;Earth Observation;6/22/2016;Indonesian National Institute of Aeronautics and Space;Indonesia;Satish Dhawan Space Center;PSLV XL
LAPAN-Tubsat;NR;Indonesian National Aeronautics and  Space Agency (Lembaga Penerbangan dan Antariksa Nasional - LAPAN);Indonesia;Government;Earth Observation/Technology Development;1/10/2007;Technical University of Berlin;Germany;Satish Dhawan Space Center;PSLV C7
LatinSat A;NR;Aprize Satellites Argentina;Argentina;Commercial;Communications;12/20/2002;SpaceQuest;USA;Baikonur Cosmodrome;Dnepr LV
LatinSat B;NR;Aprize Satellites Argentina;Argentina;Commercial;Communications;12/20/2002;SpaceQuest;USA;Baikonur Cosmodrome;Dnepr LV
Lemur-1;USA;Spire Global Inc.;USA;Commercial;Technology Development;6/19/2014;NanoSatisfi Inc.;USA;Dombarovsky Air Base;Dnepr
Lemur-2 Chris;NR;Spire Global Inc.;USA;Commercial;Earth Observation;9/28/2015;Spire Global;USA;Satish Dhawan Space Center;PSLV C-30
Lemur-2Jeroen;NR;Spire Global Inc.;USA;Commercial;Earth Observation;9/28/2015;Spire Global;USA;Satish Dhawan Space Center;PSLV C-30
Lemur-2 Joel;NR;Spire Global Inc.;USA;Commercial;Earth Observation;9/28/2015;Spire Global;USA;Satish Dhawan Space Center;PSLV C-30
Lemur-2 Peter;NR;Spire Global Inc.;USA;Commercial;Earth Observation;9/28/2015;Spire Global;USA;Satish Dhawan Space Center;PSLV C-30
LilacSat-2;NR;Harbin Institute/China Amateur Satellite - CAMSAT;China;Civil;Technology Development;9/19/2015;Harbin Institute of Technology;China;Taiyuan Launch Center;Long March 6
Ling Qiao;NR;Xinwei Telecom Technology Company;China;Commercial;Technology Development;9/4/2014;Xinwei Telecom Technology Co/Tsinghua University;China;Jiuquan Satellite Launch Center;Long March 2D
Lingqiao-A;NR;Changchun Institute of Optics;China;Commercial;Earth Observation;10/7/2015;Chang Guang Satellite Technology Co. Ltd.;China;Jiuquan Satellite Launch Center;Long March 2D
Lingqiao-B;NR;Changchun Institute of Optics;China;Commercial;Earth Observation;10/7/2015;Chang Guang Satellite Technology Co. Ltd.;China;Jiuquan Satellite Launch Center;Long March 2D
LMRSTSat;NR;NASA Jet Propulsion Laboratory;USA;Government;Technology Demonstration;10/8/2015;NASA Jet Propulsion Laboratory;USA;Cape Canaveral;Atlas 5
Long Excursion 1;NR;;China;;;;;;;
Cosmos 2455;Russia;Ministry of Defense;Russia;Military;Earth Observation;11/20/2009;TsSKB-Progress Samara Space Center and KB Arsenal;Russia;Plesetsk Cosmodrome;Soyuz U
Cosmos 2502;Russia;Ministry of Defense;Russia;Military;Earth Observation;12/23/2014;TsSKB-Progress Samara Space Center and KB Arsenal;Russia;Plesetsk Cosmodrome;Soyuz 2-1b
LQSat;NR;Changchun Institute of Optics;China;Commercial;Earth Observation;10/7/2015;Chang Guang Satellite Technology Co. Ltd.;China;Jiuquan Satellite Launch Center;Long March 2D
Luch 5A;Russia;Russian Federal Space Agency;Russia;Government;Communications;12/11/2011; ISS Reshetnev/Thales Alenia Space;Russia/France;Baikonur Cosmodrome;Proton M
Luch 5B;Russia;Russian Federal Space Agency;Russia;Government;Communications;11/2/2012;OAOÂ ISS;Russia;Baikonur Cosmodrome;Proton M
Luch 5V;Russia;Russian Federal Space Agency;Russia;Government;Communications;4/28/2014;OAO ReÅ¡etnÄ›va;Russia;Baikonur Cosmodrome;Proton M
Luch/Olympus;Russia;Ministry of Defense;Russia;Military;Communications;9/27/2014;ISS Reshetnev;Russia;Baikonur Cosmodrome;Proton M
M3MSat;NR;Defence Research and Development Canada (DRDC)/Canadian Space Agency;Canada;Government;Earth Observation;6/22/2016;Com Dev International (Honeywell Canada);Canada;Satish Dhawan Space Center;PSLV XL
Maroc Tubsat;NR;CTRS Morocco/Institut fÃ¼r Luft-und Raumfahrttechnik (Berlin);Morocco/Germany;Government;Technology Development;12/10/2001;CRTS Morocco/Institut fÃ¼r Luft-und Raumfahrttechnik;Morocco/Germany;Baikonur Cosmodrome;Zenit
M-Cubed/E1P-U2;USA;University of Michigan/Montana University;USA;Civil;Technology Development;10/28/2011;University of Michigan/Montana University/Montana Space Grant Consortium;USA;Vandenberg AFB;Delta 7920
Measat 2;Malaysia;MEASAT Satellite Systems Sdn. Bhd.;Malaysia;Commercial;Communications;11/14/1996;Boeing Satellite Systems;USA;Guiana Space Center;Ariane 44L
Measat 3;Malaysia;MEASAT Satellite Systems Sdn. Bhd.;Malaysia;Commercial;Communications;12/11/2006;Boeing Satellite Systems;USA;Baikonur Cosmodrome;Proton M
Measat 3A;Malaysia;MEASAT Satellite Systems Sdn. Bhd.;Malaysia;Commercial;Communications;6/21/2009;Orbital Sciences Corp.;USA;Baikonur Cosmodrome;Zenit 3SLB
Measat 3B;Malaysia;MEASAT Satellite Systems Sdn. Bhd.;Malaysia;Commercial;Communications;9/11/2014;Airbus Defence and Space;Germany/France;Guiana Space Center;Ariane 5 ECA
Megha-Tropiques;India;Indian Space Research Organization (ISRO)/Centre National d'Etudes Spatiales (CNES);India/France;Government;Earth Observation;10/12/2011;Indian Space Research Organization (ISRO);India;Satish Dhawan Space Center;PSLV
USA 105;USA;National Reconnaissance Office (NRO)/USAF;USA;Military;Earth Observation;8/27/1994;Boeing Satellite Systems;USA;Cape Canaveral;Titan IVA
USA 118;USA;National Reconnaissance Office (NRO)/USAF;USA;Military;Earth Observation;4/24/1996;Boeing Satellite Systems;USA;Cape Canaveral;Titan IVA
USA 250;USA;National Reconnaissance Office (NRO)/USAF;USA;Military;Earth Observation;4/10/2014;Unknown;USA;Cape Canaveral;Atlas 5
Meridian-3;Russia;Military Space Forces (VKS);Russia;Military;Communications;11/2/2010;PO Polyot;Russia;Plesetsk Cosmodrome;Soyuz 2-1a
Meridian-4;Russia;Military Space Forces (VKS);Russia;Military;Communications;5/4/2011;PO Polyot;Russia;Plesetsk Cosmodrome;Soyuz 2-1a
Meridian-6;Russia;Military Space Forces (VKS);Russia;Military;Communications;11/14/2012;ISS Reshetnev;Russia;Plesetsk Cosmodrome;Soyuz 2-1a
Meridian-7;Russia;Military Space Forces (VKS);Russia;Military;Communications;10/30/2014;ISS Reshetnev;Russia;Plesetsk Cosmodrome;Soyuz 2-1a
Meteor-M N-2;Russia;Russian Federal Service For Hydrometeorology and Environmental Monitoring (ROSHYDROMET);Russia;Government;Earth Observation;7/8/2014;VNIIEM;Russia;Baikonur Cosmodrome;Soyuz 2-1b
Meteosat 10;EUMETSAT;EUMETSAT (European Organization for the Exploitation of Meteorological Satellites);Multinational;Government/Civil;Earth Observation;7/5/2012;Thales Alenia Space;France;Guiana Space Center;Ariane 5 ECA
Meteosat 11;EUMETSAT;EUMETSAT (European Organization for the Exploitation of Meteorological Satellites);Multinational;Government/Civil;Earth Observation;7/15/2015;Thales Alen;France/Italy;Guiana Space Center;Ariane 5 ECA
Meteosat 7;EUMETSAT;EUMETSAT (European Organization for the Exploitation of Meteorological Satellites);Multinational;Government/Civil;Earth Observation;9/2/1997;Alcatel;France;Guiana Space Center;Ariane 5
Meteosat 8;EUMETSAT/ESA;EUMETSAT (European Organization for the Exploitation of Meteorological Satellites);Multinational;Government/Civil;Earth Observation;8/21/2002;Alcatel;France;Guiana Space Center;Ariane 5
Meteosat 9;EUMETSAT;EUMETSAT (European Organization for the Exploitation of Meteorological Satellites);Multinational;Government/Civil;Earth Observation;12/21/2005;Alcatel/Alenia Space;France/Italy;Guiana Space Center;Ariane 5G
MetOp-A;EUMETSAT;ESA/EUMETSAT (European Organization for the Exploitation of Meterological Satellites);Multinational;Government/Civil;Earth Observation;10/19/2006;EADS-Astrium;France/UK/Germany/Spain;Baikonur Cosmodrome;Soyuz-Fregat (Soyuz 2)
MetOp-B;EUMETSAT;ESA/EUMETSAT (European Organization for the Exploitation of Meterological Satellites);Multinational;Government/Civil;Earth Observation;9/17/2012;EADS-Astrium;France/UK/Germany/Spain;Baikonur Cosmodrome;Soyuz 2-1a
Mexsat-3;Mexico;Mexico Telecomm;Mexico;Government/Military;Communications;12/19/2012;Orbital Sciences Corp.;USA;Guiana Space Center;Atlas 5 ECA
Mexsat-2;NR;Mexico Telecomm;Mexico;Government;Communications;10/2/2015;Boeing Satellite Systems;USA;Cape Canaveral;Atlas 5
MICROSCOPE;NR;Centre National d'Etudes Spatiales (CNES);ESA;Government;Space Science;4/25/2016;CNES;France;Guiana Space Center;Soyuz 2.1a
MVL-300;NR;Moscow State University;Russia;Civil/Government;Space Science;4/27/2016;Roscosmos;Russia;Vostochny Cosmodrome;Soyuz 2.1a
USA 99;USA;US Air Force;USA;Military;Communications;2/7/1994;Lockheed Martin Missiles and Space;USA;Cape Canaveral;Titan 4A
USA 115;USA;US Air Force;USA;Military;Communications;11/6/1995;Lockheed Martin Missiles and Space;USA;Cape Canaveral;Titan 4A
USA 157;USA;US Air Force;USA;Military;Communications;2/27/2001;Lockheed Martin Missiles and Space;USA;Cape Canaveral;Titan 4B
USA 164;USA;US Air Force;USA;Military;Communications;1/16/2002;Lockheed Martin Missiles and Space;USA;Cape Canaveral;Titan 4B
USA 169;USA;US Air Force;USA;Military;Communications;4/8/2003;Lockheed Martin Missiles and Space;USA;Cape Canaveral;Titan 4B
MKA-FKI-1;Russia;Lavochkin Research and Production Association (Lavochkin NPO);Russia;Government;Earth Observation;7/22/2012;Lavochkin NPO;Russia;Baikonur Cosmodrome;Soyuz-Fregat
MMS-1;NR;National Aeronautics and Space Administration (NASA);USA;Government;Space Science;3/13/2015;NASA/Goddard Space Flight Center;USA;Cape Canaveral;Atlas 5
MMS-2;NR;National Aeronautics and Space Administration (NASA);USA;Government;Space Science;3/13/2015;NASA/Goddard Space Flight Center;USA;Cape Canaveral;Atlas 5
MMS-3;NR;National Aeronautics and Space Administration (NASA);USA;Government;Space Science;3/13/2015;NASA/Goddard Space Flight Center;USA;Cape Canaveral;Atlas 5
MMS-4;NR;National Aeronautics and Space Administration (NASA);USA;Government;Space Science;3/13/2015;NASA/Goddard Space Flight Center;USA;Cape Canaveral;Atlas 5
Microvariability & Oscillations of Stars (MOST);Canada;Canadian Space Agency;Canada;Government;Space Science;6/30/2003;Dynacon Inc./University of Toronto Institute for Aerospace Studies/University of British Columbia;Canada;Plesetsk Cosmodrome;Rokot
Mozhayets 4;Russia;Mozhaisky Space Engineering Academy;Russia;Civil;Technology Development;9/27/2003;Mozhaiskiy Space Engineering Academy;Russia;Plesetsk Cosmodrome;Kosmos 3M
MSAT 1;Canada;Mobile Satellite Ventures;USA/Canada;Commercial;Communications;4/20/1996;Spar Aerospace;Canada;Guiana Space Center;Ariane 42P
MSAT 2;USA;Mobile Satellite Ventures;USA/Canada;Commercial;Communications;4/7/1995;Hughes Communications Inc.;USA;Cape Canaveral;Atlas 2A
Multispectral Thermal Imager (MTI);USA;US Department of Energy/Office of Nonproliferation and National Security;USA;Government/Military;Technology Development;3/12/2000;Ball Aerospace/TRW/Raytheon;USA;Vandenberg AFB;Taurus
MTSAT-2;Japan;Japan Meteorological Agency/Meteorological Satellite Center (MSC);Japan;Government;Earth Observation;2/18/2006;Mitsubishi Electric/Boeing/Alcatel;Japan;Tanegashima Space Center;H2A
MUOS-1;USA;DoD/US Navy;USA;Military;Communications;2/24/2012;Lockheed Martin Missiles and Space;USA;Cape Canaveral;Atlas 5
MUOS-2;USA;DoD/US Navy;USA;Military;Communications;7/19/2013;Lockheed Martin Missiles and Space;USA;Cape Canaveral;Atlas 5
MUOS-3;USA;DoD/US Navy;USA;Military;Communications;1/21/2015;Lockheed Martin Missiles and Space;USA;Cape Canaveral;Atlas 5
